,vintage,weather_station,max_temp,avg_temp,min_temp,max_precip,avg_precip
0,2018.0,KIZA,106.0,54.70416666666667,27.0,0.0,0.0
1,2016.0,KSCK,105.0,61.964999999999996,28.0,1.28,0.04750000000000001
2,2017.0,KPRB,114.0,60.02083333333332,19.0,1.06,0.025000000000000005
3,2015.0,KAPC,100.0,56.222500000000004,25.0,1.17,0.0175
4,2017.0,KSCK,111.0,62.47833333333333,29.0,1.08,0.045000000000000005
5,2017.0,KUGN,92.0,49.49583333333333,-6.0,2.18,0.09583333333333334
7,2017.0,KSLE,160.0,52.870000000000005,15.0,2.19,0.13833333333333334
8,2012.0,KSLE,102.0,52.82166666666666,27.0,0.0,0.0
9,2015.0,KSLE,105.0,55.885833333333345,20.0,2.46,0.10833333333333334
10,2016.0,KSTS,100.0,56.51666666666667,26.0,3.08,0.09750000000000002
11,2017.0,KAPC,106.0,57.71916666666666,26.0,1.69,0.08083333333333333
12,2016.0,KPEO,93.0,50.876666666666665,-9.0,2.75,0.06166666666666667
13,2014.0,KPRB,106.0,61.223333333333336,27.0,1.59,0.017499999999999998
14,2013.0,KPRB,109.0,58.79499999999999,17.0,0.0,0.0
15,2016.0,KPRB,109.0,59.46833333333333,26.0,1.01,0.019166666666666665
16,2017.0,KMRY,102.0,56.86333333333332,31.0,2.04,0.053333333333333344
17,2016.0,KAPC,122.0,57.000833333333325,26.0,2.39,0.0625
19,2017.0,MOIC,,,,,
20,2012.0,KPRB,110.0,58.673333333333325,18.0,0.0,0.0
21,2016.0,KPHX,117.0,76.83749999999999,36.0,0.58,0.0175
22,2017.0,CI11,,,,,
23,2017.0,KSTS,109.0,56.244166666666665,26.0,3.06,0.13083333333333333
24,2017.0,AR32,,,,,
26,2016.0,AR32,,,,,
27,2015.0,KPRB,106.0,59.68333333333334,24.0,1.22,0.010833333333333334
29,2016.0,K1S5,,,,,
30,2016.0,CQ22,,,,,
31,2015.0,KSCK,107.0,62.45500000000001,26.0,0.65,0.021666666666666667
32,2016.0,KSLE,103.0,54.93916666666666,16.0,2.2,0.12416666666666665
33,2016.0,KMRY,95.0,56.07,32.0,1.75,0.053333333333333344
34,2013.0,KSTS,101.0,54.78916666666666,30.0,0.0,0.0
35,2014.0,MTZC,,,,,
36,2016.0,CI11,,,,,
37,2014.0,K1S5,,,,,
38,2017.0,K1S5,,,,,
39,2016.0,BNVC,,,,,
41,2015.0,KSTS,102.0,56.6975,24.0,2.57,0.036666666666666674
42,1996.0,KAPC,,,,,
43,2014.0,KAPC,95.0,57.13833333333333,25.0,3.22,0.03916666666666666
44,2014.0,KSTS,98.0,57.18166666666667,24.0,3.92,0.04666666666666667
45,2015.0,MOIC,,,,,
46,2013.0,KUGN,96.0,46.14666666666667,-6.0,0.0,0.0
47,2011.0,CI11,,,,,
48,2015.0,AR32,,,,,
49,-2.0,KAPC,90.0,59.850000000000016,39.0,0.0,0.0
50,2013.0,KAPC,96.0,55.4775,19.0,0.0,0.0
53,2012.0,MOIC,,,,,
54,2014.0,KSCK,106.0,63.36833333333332,28.0,2.31,0.028333333333333335
55,2014.0,KMRY,94.0,57.903333333333336,35.0,3.74,0.03833333333333334
56,2011.0,KSCK,102.0,59.05749999999998,23.0,0.0,0.0
57,2013.0,KSCK,107.0,60.3325,25.0,0.0,0.0
