,dbn,school_name,school_type_x,quality_review_rating,progress_rating,achievement_rating,environment_rating,college_and_career_readiness,closing_the_achievement_gap,free_lunch,average_grade_8_english,average_grade_8_math,quality_review_how_interesting,quality_review_how_effective,quality_review_how_well_does,quality_review_how_clearly,quality_review_how_well_do,average_sat_score,zip,advanced_placement_courses,online_ap_courses,postalcode
0,01M292,Henry Street School for International Studies,High School,Proficient,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,0.779,2.17,2.07,Proficient,Developing,Proficient,Proficient,Proficient,1131,10002,Psychology,"Chinese Language and Culture, Spanish Literature",10002
1,01M448,University Neighborhood High School,High School,Proficient,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.804,2.23,2.26,Proficient,Proficient,Proficient,Proficient,Proficient,1176,10002,"Calculus AB, Chinese Language and Culture, English Literature and Composition, Spanish Language, Spanish Literature, United States History, World History",N/A,10002
2,01M450,East Side Community School,High School,N/A,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,N/A,0.621,2.66,2.58,N/A,N/A,N/A,N/A,N/A,1311,10009,"Calculus AB, English Literature and Composition",N/A,10009
3,01M509,Marta Valle High School,High School,Developing,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,0.784,2.34,2.15,Developing,Developing,Developing,Developing,Proficient,1150,10002,"Calculus AB, English Literature and Composition, Physics B","Calculus AB, English Language and Composition",10002
4,01M539,"New Explorations into Science, Technology and Math High School",High School,Proficient,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,N/A,0.216,3.48,3.49,Well Developed,Proficient,Proficient,Well Developed,Developing,1773,10002,"Biology, Calculus AB, Calculus BC, Chemistry, Chinese Language and Culture, Computer Science A, Economics: Micro, English Language and Composition, English Literature and Composition, Environmental Science, European History, French Language, German Language, Government and Politics: Comparative, Music Theory, Physics B, Psychology, Spanish Language, Spanish Literature, Statistics, Studio Art: Drawing, United States History, World History",N/A,10002
5,01M696,Bard High School Early College,High School,Well Developed,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,N/A,0.21,3.70,3.64,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,1963,10002,N/A,N/A,10002
6,02M047,47 The American Sign Language and English Secondary School,High School,Proficient,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Exceeding Target,0.799,2.30,2.17,Proficient,Proficient,Proficient,Proficient,Proficient,1212,10010,N/A,N/A,10010
7,02M288,Food and Finance High School,High School,N/A,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,0.71,2.48,2.32,N/A,N/A,N/A,N/A,N/A,1146,10019,"English Language and Composition, Environmental Science, Government and Politics: United States, Studio Art: 2-D Design, United States History",N/A,10019
8,02M294,Essex Street Academy,High School,Proficient,Exceeding Target,Approaching Target,Exceeding Target,Approaching Target,Meeting Target,0.632,2.47,2.25,Well Developed,Proficient,Well Developed,Well Developed,Proficient,1199,10002,Spanish Language,N/A,10002
9,02M296,High School of Hospitality Management,High School,N/A,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.848,2.32,2.26,N/A,N/A,N/A,N/A,N/A,1182,10019,"English Literature and Composition, United States History",N/A,10019
10,02M298,Pace High School,High School,N/A,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,N/A,0.626,2.64,2.51,N/A,N/A,N/A,N/A,N/A,1368,10002,N/A,"Biology, Chemistry, Chinese Language and Culture, English Language and Composition, United States History, World History",10002
11,02M300,"Urban Assembly School of Design and Construction, The",High School,Proficient,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,0.723,2.33,2.26,Proficient,Proficient,Proficient,Proficient,Proficient,1304,10019,"English Literature and Composition, United States History, World History",N/A,10019
12,02M303,"Facing History School, The",High School,Proficient,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.756,2.19,2.13,Proficient,Proficient,Proficient,Well Developed,Proficient,1090,10019,"English Language and Composition, United States History",N/A,10019
13,02M305,"Urban Assembly Academy of Government and Law, The",High School,Proficient,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.722,2.37,2.23,Proficient,Proficient,Proficient,Proficient,Proficient,1191,10002,"Economics: Micro, English Literature and Composition, Spanish Language, United States History",N/A,10002
14,02M308,Lower Manhattan Arts Academy,High School,N/A,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.622,2.40,2.20,N/A,N/A,N/A,N/A,N/A,1236,10002,"Calculus AB, Physics B","English Language and Composition, Spanish Language",10002
15,02M316,"Urban Assembly School of Business for Young Women, the",High School,Proficient,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.72,2.34,2.20,Proficient,Proficient,Developing,Proficient,Proficient,1282,10004,"Chemistry, Spanish Language, United States History",Chemistry,10004
16,02M374,Gramercy Arts High School,High School,Developing,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,0.606,2.55,2.27,Developing,Developing,Developing,Developing,Developing,1263,10003,N/A,N/A,10003
17,02M376,NYC iSchool,High School,Well Developed,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,N/A,0.385,3.11,2.81,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,1529,10013,"Biology, Calculus AB, Calculus BC, Chemistry, English Language and Composition, English Literature and Composition, Government and Politics: Comparative, Government and Politics: United States, United States History",N/A,10013
