,boro_nm,ofns_desc,latitude,longitude,zip,law_category,date
349104,BROOKLYN,PETIT LARCENY,40.574162,-73.995142,11224,MISDEMEANOR,2022-09-02
349108,BRONX,FELONY ASSAULT,40.8565767275976,-73.8438936779283,10469,FELONY,2022-09-03
349111,MANHATTAN,VEHICLE AND TRAFFIC LAWS,40.71993506,-73.97875164,10009,MISDEMEANOR,2022-09-01
349113,QUEENS,HARRASSMENT 2,40.689113,-73.790504,11433,VIOLATION,2022-09-02
349115,BRONX,OFFENSES INVOLVING FRAUD,40.83396519,-73.86289203,10472,MISDEMEANOR,2022-09-01
349117,BROOKLYN,ROBBERY,40.573898,-73.999384,11224,FELONY,2022-09-02
349124,BROOKLYN,VEHICLE AND TRAFFIC LAWS,40.64646977,-74.01257641,11220,MISDEMEANOR,2022-09-03
349126,BROOKLYN,DANGEROUS DRUGS,40.594054,-73.960866,11223,MISDEMEANOR,2022-09-01
349127,STATEN ISLAND,PETIT LARCENY,40.571555,-74.111785,10306,MISDEMEANOR,2022-09-03
349128,MANHATTAN,GRAND LARCENY,40.758178,-73.988003,10036,FELONY,2022-09-02
349132,QUEENS,PETIT LARCENY,40.744856,-73.903471,11377,MISDEMEANOR,2022-09-03
349135,BROOKLYN,DANGEROUS DRUGS,40.573984,-73.997271,11224,MISDEMEANOR,2022-09-02
349139,BRONX,ROBBERY,40.84942,-73.898329,10457,FELONY,2022-09-02
349140,QUEENS,PETIT LARCENY,40.762606,-73.916041,11103,MISDEMEANOR,2022-09-02
349142,MANHATTAN,HARRASSMENT 2,40.746893,-73.997325,10001,VIOLATION,2022-09-01
349143,MANHATTAN,GRAND LARCENY,40.773366,-73.945151,10028,FELONY,2022-09-02
349145,BROOKLYN,DANGEROUS DRUGS,40.67680075,-73.90002424,11207,MISDEMEANOR,2022-09-01
349150,MANHATTAN,PETIT LARCENY,40.714608,-74.011443,10007,MISDEMEANOR,2022-09-04
349152,MANHATTAN,PETIT LARCENY,40.809573,-73.949746,10027,MISDEMEANOR,2022-09-03
349157,QUEENS,GRAND LARCENY OF MOTOR VEHICLE,40.705608,-73.79209,11433,FELONY,2022-09-02
349160,MANHATTAN,PETIT LARCENY,40.757437,-73.971679,10022,MISDEMEANOR,2022-09-01
349161,BRONX,PETIT LARCENY,40.82446,-73.924026,10451,MISDEMEANOR,2022-09-03
349165,QUEENS,PETIT LARCENY,40.599179,-73.75022,11691,MISDEMEANOR,2022-09-01
349168,MANHATTAN,VEHICLE AND TRAFFIC LAWS,40.81660079,-73.94275564,10030,MISDEMEANOR,2022-09-03
349170,QUEENS,PETIT LARCENY,40.744195,-73.885607,11373,MISDEMEANOR,2022-09-02
349172,BROOKLYN,PETIT LARCENY,40.617611,-74.033451,11209,MISDEMEANOR,2022-09-01
349179,BROOKLYN,ADMINISTRATIVE CODE,40.67279426,-73.96920264,11238,VIOLATION,2022-09-01
349180,QUEENS,CRIMINAL MISCHIEF & RELATED OF,40.6947766,-73.84773302,11421,MISDEMEANOR,2022-09-01
349183,MANHATTAN,PETIT LARCENY,40.795572,-73.932295,10035,MISDEMEANOR,2022-09-02
349184,MANHATTAN,GRAND LARCENY,40.766929,-73.986432,10019,FELONY,2022-09-03
349194,MANHATTAN,PETIT LARCENY,40.745523,-74.005747,10011,MISDEMEANOR,2022-09-03
349195,MANHATTAN,PETIT LARCENY,40.766501,-73.982362,10019,MISDEMEANOR,2022-09-03
349196,BROOKLYN,ASSAULT 3 & RELATED OFFENSES,40.572769,-73.996503,11224,MISDEMEANOR,2022-09-04
349200,BRONX,FELONY ASSAULT,40.8307223277672,-73.8271260588639,10465,FELONY,2022-09-01
349205,BRONX,ASSAULT 3 & RELATED OFFENSES,40.85899323,-73.90572247,10453,MISDEMEANOR,2022-09-02
349207,QUEENS,GRAND LARCENY,40.6799807384666,-73.7762339071953,11412,FELONY,2022-09-02
349212,BRONX,ASSAULT 3 & RELATED OFFENSES,40.892833,-73.84937,10466,MISDEMEANOR,2022-09-02
349213,BRONX,PETIT LARCENY,40.847471,-73.922703,10453,MISDEMEANOR,2022-09-03
349215,BROOKLYN,PETIT LARCENY,40.695234,-73.914085,11221,MISDEMEANOR,2022-09-03
349218,MANHATTAN,PETIT LARCENY,40.782476,-73.957634,10128,MISDEMEANOR,2022-09-02
349225,BRONX,FORGERY,40.833951,-73.854061,10462,FELONY,2022-09-01
349229,QUEENS,GRAND LARCENY,40.704088,-73.820375,11418,FELONY,2022-09-01
349230,BROOKLYN,BURGLARY,40.695432,-73.996619,11201,FELONY,2022-09-03
349231,BRONX,ROBBERY,40.84207,-73.889516,10460,FELONY,2022-09-01
